approach,model,accuracy,precision_macro,recall_macro,f1_macro
manual,Decision Tree,0.9927616050354052,0.8305138044819043,0.829650473341555,0.8293785481780497
manual,Random Forest,0.9932146007677085,0.8094761166909059,0.7247496664408768,0.7368611673190529
